UnitID,Institution Name,Percent admitted - total (DRVADM2018_RV),
138600,Agnes Scott College,70,
168546,Albion College,68,
210571,Albright College,62,
210669,Allegheny College,64,
217624,Allen University,,
116846,American Jewish University,96,
164465,Amherst College,13,
483018,Antioch College,84,
168786,Aquinas College,69,
143084,Augustana College,64,
222983,Austin College,55,
446048,Ave Maria University,83,
189088,Bard College,65,
189097,Barnard College,14,
160977,Bates College,18,
238333,Beloit College,56,
197993,Bennett College,96,
230816,Bennington College,57,
156295,Berea College,38,
237181,Bethany College,91,
173142,Bethany Lutheran College,78,
132602,Bethune-Cookman University,,
100937,Birmingham-Southern College,57,
143288,Blackburn College,52,
183822,Bloomfield College,61,
161004,Bowdoin College,10,
139205,Brewton-Parker College,97,
231581,Bridgewater College,66,
210492,Bryn Athyn College of the New Church,89,
211273,Bryn Mawr College,34,
211291,Bucknell University,33,
173258,Carleton College,20,
158477,Centenary College of Louisiana,60,
153108,Central College,70,
156408,Centre College,73,
128780,Charter Oak State College,,
211608,Cheyney University of Pennsylvania,,
198303,Chowan University,59,
112260,Claremont McKenna College,9,
153144,Coe College,67,
161086,Colby College,13,
190099,Colgate University,25,
174747,College of Saint Benedict,83,
160959,College of the Atlantic,67,
166124,College of the Holy Cross,38,
126678,Colorado College,15,
173300,Concordia College at Moorhead,61,
128902,Connecticut College,38,
153162,Cornell College,61,
139393,Covenant College,97,
198385,Davidson College,19,
202523,Denison University,34,
150400,DePauw University,63,
212009,Dickinson College,49,
158802,Dillard University,61,
181020,Doane University,68,
184348,Drew University,69,
150455,Earlham College,65,
144883,East-West University,,
490850,East-West University,,
133492,Eckerd College,68,
212197,Elizabethtown College,76,
165671,Emmanuel College,77,
232025,Emory & Henry College,70,
220181,Fisk University,71,
127185,Fort Lewis College,91,
212577,Franklin and Marshall College,35,
150604,Franklin College,75,
218070,Furman University,61,
156745,Georgetown College,48,
212674,Gettysburg College,45,
165936,Gordon College,75,
162654,Goucher College,80,
153384,Grinnell College,24,
212805,Grove City College,79,
198613,Guilford College,64,
173647,Gustavus Adolphus College,66,
191515,Hamilton College,21,
232256,Hampden-Sydney College,59,
166018,Hampshire College,63,
150756,Hanover College,79,
191533,Hartwick College,83,
115409,Harvey Mudd College,14,
212911,Haverford College,19,
107080,Hendrix College,72,
170286,Hillsdale College,36,
191630,Hobart William Smith Colleges,57,
232308,Hollins University,64,
170301,Hope College,76,
191676,Houghton College,95,
488068,Huntington University of Health Sciences,,
145691,Illinois College,76,
145646,Illinois Wesleyan University,59,
198756,Johnson C Smith University,46,
101541,Judson College,48,
213251,Juniata College,70,
170532,Kalamazoo College,73,
203535,Kenyon College,36,
146427,Knox College,74,
213385,Lafayette College,29,
146481,Lake Forest College,58,
220598,Lane College,,
239017,Lawrence University,62,
209056,Lewis & Clark College,74,
209065,Linfield College-McMinnville Campus,81,
159382,Louisiana State University-Alexandria,56,
153834,Luther College,63,
213668,Lycoming College,66,
106342,Lyon College,50,
173902,Macalester College,41,
182917,Magdalen College,39,
213783,Mansfield University of Pennsylvania,92,
230940,Marlboro College,59,
118541,Marymount California University,,
192864,Marymount Manhattan College,78,
167288,Massachusetts College of Liberal Arts,74,
198950,Meredith College,63,
230959,Middlebury College,17,
175980,Millsaps College,59,
147341,Monmouth College,69,
214157,Moravian College,73,
140553,Morehouse College,58,
166939,Mount Holyoke College,51,
214175,Muhlenberg College,62,
262129,New College of Florida,77,
440396,New Saint Andrews College,98,
204501,Oberlin College,36,
120254,Occidental College,37,
140696,Oglethorpe University,62,
204909,Ohio Wesleyan University,69,
457484,Pacific Rim Christian University,70,
214731,Pennsylvania State University-Penn State Brandywine,87,
167455,Pine Manor College,41,
121257,Pitzer College,13,
121345,Pomona College,8,
218539,Presbyterian College,69,
148016,Principia College,92,
455770,Providence Christian College,88,
207157,Randall University,50,
233301,Randolph College,87,
233295,Randolph-Macon College,67,
209922,Reed College,35,
221351,Rhodes College,45,
239628,Ripon College,69,
233426,Roanoke College,72,
176318,Rust College,53,
183239,Saint Anselm College,77,
174792,Saint Johns University,80,
152390,Saint Mary's College,82,
231059,Saint Michael's College,83,
239716,Saint Norbert College,78,
215798,Saint Vincent College,68,
199607,Salem College,39,
195304,Sarah Lawrence College,56,
123165,Scripps College,24,
237792,Shepherd University,89,
154350,Simpson College,84,
195526,Skidmore College,27,
167835,Smith College,31,
399911,Soka University of America,39,
233611,Southern Virginia University,69,
228343,Southwestern University,45,
141060,Spelman College,39,
102234,Spring Hill College,66,
195216,St Lawrence University,46,
174844,St Olaf College,50,
245652,St. John's College,67,
163976,St. John's College,58,
163912,St. Mary's College of Maryland,80,
231095,Sterling College,93,
230630,Stevens-Henager College,,
102270,Stillman College,39,
167996,Stonehill College,70,
196219,SUNY at Purchase College,65,
216278,Susquehanna University,72,
216287,Swarthmore College,9,
233718,Sweet Briar College,76,
102298,Talladega College,,
142294,The College of Idaho,49,
206589,The College of Wooster,54,
454184,The King's College,54,
221519,The University of the South,65,
233897,The University of Virginia's College at Wise,77,
124292,Thomas Aquinas College,78,
183275,Thomas More College of Liberal Arts,50,
176406,Tougaloo College,91,
157818,Transylvania University,89,
130590,Trinity College,34,
196866,Union College,39,
128328,United States Air Force Academy,11,
197036,United States Military Academy,11,
164155,United States Naval Academy,9,
483595,Universidad Ana G. Mendez-Online Campus,,
487296,University of Arizona-South,,
161244,University of Maine at Machias,,
174251,University of Minnesota-Morris,63,
183071,University of New Hampshire at Manchester,93,
199111,University of North Carolina at Asheville,94,
157535,University of Pikeville,,
215275,University of Pittsburgh-Greensburg,73,
243151,University of Puerto Rico-Cayey,72,
243212,University of Puerto Rico-Ponce,35,
236328,University of Puget Sound,88,
233374,University of Richmond,30,
207722,University of Science and Arts of Oklahoma,53,
218654,University of South Carolina Beaufort,63,
449870,University of the West,,
240374,University of Wisconsin-Parkside,67,
240426,University of Wisconsin-Superior,78,
216524,Ursinus College,71,
197133,Vassar College,25,
234085,Virginia Military Institute,51,
234164,Virginia Union University,44,
234137,Virginia University of Lynchburg,,
234173,Virginia Wesleyan University,70,
152673,Wabash College,65,
199865,Warren Wilson College,86,
154527,Wartburg College,76,
216667,Washington & Jefferson College,82,
234207,Washington and Lee University,21,
164216,Washington College,64,
168218,Wellesley College,20,
197230,Wells College,79,
141325,Wesleyan College,48,
130697,Wesleyan University,17,
216807,Westminster College,66,
179946,Westminster College,94,
125727,Westmont College,62,
149781,Wheaton College,83,
168281,Wheaton College,70,
237057,Whitman College,50,
125763,Whittier College,76,
210401,Willamette University,84,
107877,Williams Baptist University,56,
168342,Williams College,13,
206525,Wittenberg University,74,
218973,Wofford College,64,
141361,Young Harris College,63,